WGS84 UTM 19N
326134 4691075
-18.499781990831252 3.1695895045995712 24.636
2.770963558170479 -26.05868984013796 17.666
14.209169248642866 1.7795375837013125 9.168
19.70892639947124 1.887419872917235 9.662
13.413271385012195 32.78822920937091 24.935
-5.220692570088431 -11.682435841299593 4.196
4.528511891781818 0.9088123487308621 7.606
0.6336943990318105 -25.172281484119594 18.077
8.801605558255687 3.7249284768477082 7.653
-3.774672180181369 -19.49613405764103 12.043
-6.365496122511104 26.512714765034616 26.023
-35.20134992268868 58.740053170360625 51.336
6.126628580968827 3.2024638513103127 7.485
-9.22946242656326 29.994955689646304 28.64
-19.77880266145803 -0.876428940333426 24.391
16.805295498110354 1.7817403366789222 10.013
-7.174329830741044 -8.711693243123591 25.501
3.389788947242778 -28.685171214863658 13.319
-22.397821084363386 -1.8002732824534178 22.351
-1.9613575097173452 22.65889334306121 24.094
-4.358994307811372 -10.17049950454384 3.845
-14.702296119765379 5.086391375400126 22.514
8.828661147446837 -23.064666277728975 13.672
10.772249516681768 -25.112930873408914 10.888
2.816573388990946 35.18470419757068 25.035
-22.406355279148556 -4.46673205960542 25.063
-2.2911858576117083 -0.9107264811173081 25.123
-121.24272659252165 119.06675521098077 14.422
11.434085539076477 12.492904373444617 24.777
2.70400489855092 -25.76813783030957 15.723
6.618367801595014 3.4235865473747253 7.475
-6.160655541694723 -13.359095374122262 4.36
18.29967168130679 1.889078775420785 10.04
12.079442874179222 -21.92316391505301 11.55
11.424470453173853 12.43758750334382 24.742
-0.6864483855897561 1.6494262209162116 24.829
-0.594776950776577 -11.252867710776627 5.037
17.201195043278858 1.794132150709629 10.085
4.048245852114633 0.15407084207981825 7.537
12.353273990971502 -23.507743150927126 11.101
3.0480181640014052 -0.29886938352137804 7.588
9.837012040661648 -26.26748687494546 12.921
-8.530177722452208 -32.444721597246826 12.478
-12.021391671150923 -25.346898989751935 25.657
-17.095339662744664 9.279162989929318 24.424
14.713147714093793 -19.744114176370203 11.383
-3.4977821172215044 -3.0363210663199425 24.642
14.515519508859143 -3.8058541025966406 11.065
-12.886515556601807 6.852410144172609 22.71
9.527513794135302 -24.459799355827272 13.554
-14.132662404503208 -27.727802981622517 11.711
-7.021908352035098 29.284575818106532 24.447
6.91510903055314 -25.117152102291584 16.838
6.65801735612331 -26.17743604257703 13.054
-1.0813591973856091 -6.951889708638191 7.319
3.4878225800930522 7.123552396893501 4.148
5.182757779490203 -27.17413705587387 13.234
-4.9201772240921855 -35.42326417565346 11.977
18.8188417655183 1.8872986966744065 10.126
-11.598302976111881 -15.279614206403494 25.847
-16.405980025534518 11.484267955645919 24.868
18.70790819847025 1.73449747543782 10.249
1.2415336049161851 2.6237722216174006 4.178
3.7302025681128725 -13.649160624481738 12.151
-23.942318461020477 -3.261915937066078 22.678
2.9903864092193544 -25.519693496637046 15.802
-0.5709878675406799 35.835495508275926 24.642
-12.709044389193878 20.30357811693102 24.867
-6.543080133502372 -13.160709153860807 4.993
-9.779664797359146 -20.03589678928256 25.691
5.045955241075717 7.807083272375166 24.504
19.967253080336377 1.6698941979557276 9.495
10.45457691833144 -25.293931762687862 10.929
-1.420278299949132 -10.643478274345398 4.88
-8.712518230662681 27.24878024775535 24.979
-9.811723753577098 10.531609563156962 22.714
10.947320001199841 33.04946289118379 24.848
-23.051114661735483 -5.539609204977751 23.994
-17.879511044244282 6.243078198283911 24.95
2.486787993926555 -26.21829994302243 17.746
-11.32027345127426 8.857960226014256 22.783
9.339729867002461 -24.38846965134144 13.078
-17.415641706902534 7.664893209002912 24.671
-4.325824639410712 -25.760233282111585 20.483
9.948150748910848 -26.77024722378701 13.947
9.162183831154834 -23.572948792017996 14.126
14.366488395084161 1.8089645616710186 9.06
-1.889639088883996 23.223779791034758 24.92
18.18436182354344 1.8919419702142477 9.922
-10.931508369278163 23.84832741227001 24.707
19.65619922534097 1.755395608022809 9.83
